gene_name	known_status	single_exon	pval	qval	esti_log2FC
AUH	1	0	0.004235979732558937	0.040160245116633304	-0.8278418121589987
AXIN1	1	0	0.001953486910219609	0.022699084471067263	-0.45929028938254035
AXL	1	0	9.627495032098014e-8	6.006297718117606e-6	0.9073429792345675
B2M	1	0	1.8495244507324505e-4	0.0036632103653953447	0.790838273489787
B2M	1	1	1.8495244507324505e-4	0.0036632103653953447	0.790838273489787
B3GNT3	1	0	7.408898564052907e-4	0.010944138162745505	-2.0632086167155337
B4GALT4	1	0	2.7962954108368927e-12	4.268265315101433e-10	-1.5056039780411625
BAAT	1	0	5.2225197721098955e-20	2.4403023000454727e-17	-2.7994736683920607
BAHCC1	1	0	0.003251477084751277	0.033145956960135906	-0.9598550668132939
BAHCC1	1	1	0.003251477084751277	0.033145956960135906	-0.9598550668132939
BAIAP2L1	1	0	0.005543791078545072	0.04885170135163339	-0.5450100418619183
BAMBI	1	0	1.6692284245325956e-16	5.028770264223461e-14	1.656074001837615
BASP1	1	0	2.0112206225529034e-7	1.1176919265527009e-5	-0.8959395495232234
BAX	1	0	0.0017524417903484765	0.02110673710248223	0.46544822765247973
BCAS1	1	0	3.622496758837396e-7	1.8513545935343977e-5	-5.660662351195774
BCAT1	1	0	4.650052053313088e-13	8.517407345012517e-11	1.2746052296156989
BCHE	1	0	6.181692879120466e-13	1.0722427284874409e-10	2.08564281631125
BCKDHB	1	0	0.0046857502441781974	0.043167453433481696	0.7608931017043982
BCL3	1	0	8.761068983878612e-12	1.238231083054844e-9	-1.4245739095608243
BCL6	1	0	0.004267980259295707	0.04039672427318499	-0.8503310845593505
BCO1	1	0	3.2699908404806185e-10	3.670083837433541e-8	-2.0013647827928764
BDKRB1	1	0	0.001531109602858712	0.018995711464048135	2.380020503326384
BDKRB1	1	1	0.001531109602858712	0.018995711464048135	2.380020503326384
BHLHE41	1	0	2.0572199812602333e-8	1.5194228609978808e-6	4.014268385574589
BIRC3	1	0	3.9741929850978637e-4	0.006695594009330441	-0.9103927611128688
BMP2	1	0	8.444974097910908e-4	0.012130246357952833	2.3784791476274174
BMP5	1	0	4.386501057857022e-4	0.007243479015162938	-3.0072182320836567
BMP8B	1	0	0.0022020679575981673	0.024714974488807665	-1.439708332558381
BRCA2	1	0	6.386157380728799e-4	0.00972190554449246	1.0005642908805095
